
RAID device 
   343072 Mbyte of  343308 MByte available for I/O
   342636 MByte of  343072 MByte in use,     436 MByte free
     4158 Files of   85768 Files in use,   81610 Files free

 FileID     MeasID                        ProtName                         PatName   Status         Size   SizeOnDisk          CreationTime             CloseTime dependent files (fileID)

  11826        436                          AdjFre                          xxxxxx      cld       787776      4194304   26.02.2018 11:51:03   26.02.2018 11:51:03
  11825        435                         AdjDico                          xxxxxx      cld      1057728      4194304   26.02.2018 11:51:02   26.02.2018 11:51:03
  11824        434                   mpa flow_PAT2                          xxxxxx      cld    788750464    792723456   26.02.2018 11:48:25   26.02.2018 11:50:46 11819
  11823        433                    ao flow_PAT3                          xxxxxx      cld    405005248    406847488   26.02.2018 11:46:46   26.02.2018 11:48:19 11813
  11822        432                    ao flow_PAT2                          xxxxxx      cld    534906592    536870912   26.02.2018 11:44:47   26.02.2018 11:46:45 11813
  11821        431                          AdjFre                          xxxxxx      cld       781088      4194304   26.02.2018 11:44:46   26.02.2018 11:44:47
  11820        430                  scout_mpa flow                          xxxxxx      cld    232342400    234881024   26.02.2018 11:43:38   26.02.2018 11:44:36 11819
  11819        429                AdjQuietCoilSens                          xxxxxx      cld     19923232     20971520   26.02.2018 11:43:36   26.02.2018 11:43:37
  11818        428                          AdjFre                          xxxxxx      cld       964576      4194304   26.02.2018 11:43:34   26.02.2018 11:43:36
  11817        427                     AdjFieldMap                          xxxxxx      cld    108362400    109051904   26.02.2018 11:42:47   26.02.2018 11:43:33
  11816        426                          AdjFre                          xxxxxx      cld       964576      4194304   26.02.2018 11:42:45   26.02.2018 11:42:47
  11815        425                   scout_ao flow                          xxxxxx      cld    185700032    188743680   26.02.2018 11:41:19   26.02.2018 11:42:19 11813
  11814        424                      AdjCoilPos                          xxxxxx      cld       822656      4194304   26.02.2018 11:41:16   26.02.2018 11:41:18
  11813        423                AdjQuietCoilSens                          xxxxxx      cld     16742496     16777216   26.02.2018 11:41:14   26.02.2018 11:41:16
  11812        422                          AdjFre                          xxxxxx      cld       906496      4194304   26.02.2018 11:41:12   26.02.2018 11:41:13
  11811        421                     AdjFieldMap                          xxxxxx      cld     90605888     92274688   26.02.2018 11:40:25   26.02.2018 11:41:11
  11810        420                         AdjDico                          xxxxxx      cld      1451808      4194304   26.02.2018 11:40:24   26.02.2018 11:40:25
  11809        419                        AdjTra1D                          xxxxxx      cld       676096      4194304   26.02.2018 11:40:22   26.02.2018 11:40:24
  11808        418                          AdjFre                          xxxxxx      cld       780992      4194304   26.02.2018 11:40:21   26.02.2018 11:40:21
  11807        417                         AdjDico                          xxxxxx      cld      1050912      4194304   26.02.2018 11:40:17   26.02.2018 11:40:20
  11806        416                trufi_multislice                          xxxxxx      cld    303930176    306184192   26.02.2018 11:37:09   26.02.2018 11:37:30 11804, 11804
  11805        415                      AdjCoilPos                          xxxxxx      cld       850400      4194304   26.02.2018 11:37:06   26.02.2018 11:37:08
  11804        414                AdjQuietCoilSens                          xxxxxx      cld     37013504     37748736   26.02.2018 11:36:57   26.02.2018 11:37:04
  11803        413                         AdjDico                          xxxxxx      cld      1484320      4194304   26.02.2018 11:36:56   26.02.2018 11:36:57
  11802        412                        AdjTra1D                          xxxxxx      cld       690336      4194304   26.02.2018 11:36:54   26.02.2018 11:36:56
  11801        411                          AdjFre                          xxxxxx      cld       680896      4194304   26.02.2018 11:36:54   26.02.2018 11:36:54
  11800        410                         AdjDico                          xxxxxx      cld      1083424      4194304   26.02.2018 11:36:51   26.02.2018 11:36:53
  11799        409              gre_lung_noMTC_256                          xxxxxx      cld     10815168     12582912   26.02.2018 11:34:55   26.02.2018 11:35:00 11779, 11779
  11798        408                gre_lung_MTC_256                          xxxxxx      cld     10815520     12582912   26.02.2018 11:34:39   26.02.2018 11:34:44 11779, 11779
  11797        407                    gre_lung_MTC                          xxxxxx      cld      3332160      4194304   26.02.2018 11:34:06   26.02.2018 11:34:10 11779, 11779
  11796        406                  gre_lung_noMTC                          xxxxxx      cld      3331808      4194304   26.02.2018 11:33:54   26.02.2018 11:33:57 11779, 11779
  11795        405                  gre_lung_noMTC                          xxxxxx      cld      4843136      8388608   26.02.2018 11:32:55   26.02.2018 11:32:59 11779, 11779
  11794        404                    gre_lung_MTC                          xxxxxx      cld      4843488      8388608   26.02.2018 11:32:39   26.02.2018 11:32:42 11779, 11779
  11793        403                        gre_lung                          xxxxxx      cld      4843456      8388608   26.02.2018 11:32:11   26.02.2018 11:32:15 11779, 11779
  11792        402                        gre_lung                          xxxxxx      cld      4842976      8388608   26.02.2018 11:31:25   26.02.2018 11:31:40 11779, 11779
  11791        401 CV_spiral_cine_64shot_2seg_SAX_pre                          xxxxxx      cld    215973568    218103808   26.02.2018 11:28:16   26.02.2018 11:28:44 11779, 11779
  11790        400    CV_spiral_linear_32shot_2seg                          xxxxxx      cld    118211136    121634816   26.02.2018 11:27:26   26.02.2018 11:27:54 11779, 11779
  11789        399    CV_spiral_linear_32shot_1seg                          xxxxxx      cld     70685248     71303168   26.02.2018 11:26:56   26.02.2018 11:27:04 11779, 11779
  11788        398    CV_spiral_linear_32shot_1seg                          xxxxxx      cld    288568960    289406976   26.02.2018 11:25:57   26.02.2018 11:26:29 11779, 11779
  11787        397    CV_spiral_linear_32shot_1seg                          xxxxxx      cld     77237472     79691776   26.02.2018 11:25:15   26.02.2018 11:25:43 11779, 11779
  11786        396 CV_spiral_cine_64shot_2seg_128_SAX                          xxxxxx      cld     89683104     92274688   26.02.2018 11:23:16   26.02.2018 11:23:45 0, 0
  11785        395 CV_spiral_cine_64shot_2seg_128_SAX                          xxxxxx      cld       884224      4194304   26.02.2018 11:22:59   26.02.2018 11:22:59
  11784        394 CV_spiral_cine_64shot_2seg_128_SAX                          xxxxxx      cld      1078112      4194304   26.02.2018 11:22:19   26.02.2018 11:22:22 11779, 11779
  11783        393 CV_spiral_cine_64shot_2seg_128_SAX                          xxxxxx      cld      1072512      4194304   26.02.2018 11:21:55   26.02.2018 11:21:57 11779, 11779
  11782        392  CV_spiral_cine_64shot_2seg_SAX                          xxxxxx      cld    215968032    218103808   26.02.2018 11:19:17   26.02.2018 11:20:46 11779, 11779
  11781        391 CV_spiral_cine_64shot_4seg_retro                          xxxxxx      cld    116095872    117440512   26.02.2018 11:18:22   26.02.2018 11:19:26 11779, 11779
  11780        390 CV_spiral_cine_64shot_2seg_retro                          xxxxxx      cld    229031424    268435456   26.02.2018 11:17:27   26.02.2018 11:18:42 11779, 11779
  11779        389                AdjQuietCoilSens                          xxxxxx      cld     31299200     33554432   26.02.2018 11:17:15   26.02.2018 11:17:22
  11778        388                          AdjFre                          xxxxxx      cld       783776      4194304   26.02.2018 11:17:13   26.02.2018 11:17:15
  11777    3000004   CV_spiral_cine_64shot_2seg_RR                          xxxxxx      cld    163624224    167772160   26.02.2018 11:15:53   26.02.2018 11:16:53 11776, 11776
  11776    3000003             AdjQuietCoilSens_RR                          xxxxxx      cld     25590208     29360128   26.02.2018 11:15:48   26.02.2018 11:15:48
  11775        387 CV_spiral_cine_32shot128_realtime                          xxxxxx      cld     30046752     33554432   26.02.2018 11:14:55   26.02.2018 11:15:33 11770, 11770
  11774        386  CV_spiral_cine_32shot_realtime                          xxxxxx      cld     55264064     58720256   26.02.2018 11:13:53   26.02.2018 11:14:37 11770, 11770
  11773        385  CV_spiral_cine_32shot_realtime                          xxxxxx      cld     74137408     75497472   26.02.2018 11:13:03   26.02.2018 11:13:40 11770, 11770
  11772        384  CV_spiral_cine_64shot_realtime                          xxxxxx      cld     35853696     37748736   26.02.2018 11:11:58   26.02.2018 11:12:44 11770, 11770
  11771        383                      AdjCoilPos                          xxxxxx      cld       999136      4194304   26.02.2018 11:11:54   26.02.2018 11:11:57
  11770        382                AdjQuietCoilSens                          xxxxxx      cld     25606240     29360128   26.02.2018 11:11:46   26.02.2018 11:11:53
  11769        381                          AdjFre                          xxxxxx      cld       750528      4194304   26.02.2018 11:11:45   26.02.2018 11:11:45
  11768        380                     AdjFieldMap                          xxxxxx      cld     90604864     92274688   26.02.2018 11:10:58   26.02.2018 11:11:44
  11767        379                         AdjDico                          xxxxxx      cld      1446016      4194304   26.02.2018 11:10:56   26.02.2018 11:10:57
  11766        378                        AdjTra1D                          xxxxxx      cld       661600      4194304   26.02.2018 11:10:54   26.02.2018 11:10:56
  11765        377                          AdjFre                          xxxxxx      cld       750464      4194304   26.02.2018 11:10:54   26.02.2018 11:10:54
  11764        376                         AdjDico                          xxxxxx      cld      1045120      4194304   26.02.2018 11:10:52   26.02.2018 11:10:53
  11763        375      CV_spiral_cine_64shot_2seg                          xxxxxx      clf    163626816    167772160   26.02.2018 11:09:24   26.02.2018 11:10:17 0, 0
  11762        374      CV_spiral_cine_64shot_1seg                          xxxxxx      cld    175129600    201326592   26.02.2018 11:08:21   26.02.2018 11:09:39 0, 0
